,species,id,name,sex,accuracy,birthYear,acquisition,originDate,originLocation,mother,father,transfers,currently,region,status,statusDate,COD,notes,transferDate,transfer,entryDate
12,Bottlenose,"NOA0002803, SWC-TT-8426",Yoyo,F,a,1984,Born,1984-03-06,SeaWorld San Diego,Maggie,Gouda,SeaWorld San Diego to SeaWorld San Antonio (< 1991),SeaWorld San Antonio,US,Alive,,,,,US,1984-03-06
13,Bottlenose,"NOA0002802, AZA, SWF-TT-8402",Phil,M,a,1984,Born,1984-08-12,SeaWorld Orlando,Tanya,Ralph,SeaWorld Orlando to SeaWorld San Diego (19-Feb-1988) to SeaWorld Orlando (19-Apr-2001) to Busch Gardens Tampa (19-Apr-2001) to SeaWorld Orlando (04-Mar-2002),SeaWorld Orlando,US,Alive,,,,,US,1984-08-12
14,Bottlenose,"NOA0004396, AZA 367, DRC-BC-84-5 ",Merina,F,a,1984,Born,1984-11-21,Dolphin Research Center,Bee,Delphi,,Dolphin Research Center,US,Alive,,,,,US,1984-11-21
15,Bottlenose,"NOA0004398, AZA 369, DRC-BC-84-6 ",Aleta,F,a,1984,Born,1984-12-21,Dolphin Research Center,Misty,Delphi,,Dolphin Research Center,US,Alive,,,,,US,1984-12-21
16,Bottlenose,"NOA0004403, AZA 407, DRC-BC-86-1 ",Santini,F,a,1986,Born,1986-11-30,Dolphin Research Center,Theresa,Delphi,,Dolphin Research Center,US,Alive,,,,,US,1986-11-30
17,Bottlenose,"NOA0000686, AZA 409, 910046",Allie,F,a,1987,Born,1987-04-01,Dolphin Connection,April,Merlin,Dolphin Connection to Brookfield Zoo (29-Jun-1991) to Dolphin Connection (05-Apr-2000) to Minnesota Zoo (14-Jan-2008) to Brookfield Zoo (04-Oct-2012),Brookfield Zoo,US,Alive,,,,,US,1987-04-01
18,Bottlenose,"NOA0002922, SWF-TT-8702",Dottie,F,a,1987,Born,1987-04-26,SeaWorld Orlando,Darla,Ralph,SeaWorld Orlando to SeaWorld Aurora (Early 1995) to SeaWorld San Diego (26-Apr-1999),SeaWorld San Diego,US,Alive,,,,,US,1987-04-26
19,Bottlenose,"NOA0002955, SWF-TT-8801",Clyde,M,a,1988,Born,1988-03-16,SeaWorld Orlando, Bonnie,Ralph,SeaWorld Orlando to SeaWorld Aurora (Early 1995) to SeaWorld Orlando (11-Oct-1997) to SeaWorld Aurora (26-Apr-1998) to SeaWorld Orlando (17-Feb-2001),SeaWorld Orlando,US,Alive,,,,,US,1988-03-16
20,Bottlenose,"NOA0002956, SWC-TT-8826",Sparky,M,a,1988,Born,1988-04-08,SeaWorld San Diego,Sharkey,Semo,SeaWorld San Diego to U.S. Navy MMP (28-Feb-2011),U.S. Navy,US,Alive,,,,,US,1988-04-08
21,Bottlenose,"NOA0004413, AZA 423, DRC-BC-88-2 ",A.J.,M,a,1988,Born,1988-05-23,Dolphin Research Center,Aphrodite,Joe,,Dolphin Research Center,US,Alive,,,,,US,1988-05-23
22,Killer Whale; Orca,"NOA0002959, SWC-OO-8826",Orkid,F,a,1988,Born,1988-09-23,SeaWorld San Diego,Kandu V,Orky II,,SeaWorld San Diego,US,Alive,,,,,US,1988-09-23
23,Killer Whale; Orca,"NOA0002961, SWT-OO-8876",Kayla,F,a,1988,Born,1988-11-26,SeaWorld San Antonio,Kenau,Orky II,SeaWorld San Antonio to SeaWorld Aurora (20-Apr-1991) to SeaWorld San Antonio (14-Oct-1999) to SeaWorld Orlando (17-Nov-2006),SeaWorld Orlando,US,Alive,,,,,US,1988-11-26
24,Bottlenose,"NOA0004613, SWF-TT-0103",Razzle,M,a,1989,Born,1989-04-06,Marineland Florida,Mary,Davy II,Marineland of Florida to SeaWorld Orlando (26-Mar-2001) to SeaWorld San Diego (03-Apr-2004),SeaWorld San Diego,US,Alive,,,,,US,1989-04-06
25,Bottlenose,"NOA0002988, TT-830M, ""BEL""",Belle,M,a,1989,Born,1989-08-16,SeaWorld San Antonio,Alice,Guy,SeaWorld San Antonio to SeaWorld San Diego (~ Sep 1993) to SeaWorld Orlando (08-Jun-1996) to SeaWorld Aurora (17-Apr-2000) to SeaWorld Orlando (17-Feb-2001) to SeaWorld San Diego (03-Apr-2004) to U.S. Navy (30-Nov-2005) to SeaWorld San Diego (10-Sep-2007),SeaWorld San Diego,US,Alive,,,,,US,1989-08-16
26,Bottlenose,"NOA0002987, SWC-TT-8927",Melanie,F,a,1989,Born,1989-08-26,SeaWorld San Diego,Scarback,Jethro (T.t. gilli),,SeaWorld San Diego,US,Alive,,,,,US,1989-08-26
27,Bottlenose,"NOA0003033, SWO-TTG-9052",Tasha,F,a,1990,Born,1990-02-15,SeaWorld Aurora,Astra,Domino,SeaWorld Aurora to SeaWorld San Diego (14-Oct-1990) to SeaWorld Orlando (??),SeaWorld Orlando,US,Alive,,,Tasha arrived to SeaWorld Orlando in the early 1990's,,US,1990-02-15
28,Bottlenose,"NOA0003010, SWC-TT-9026",Bubba,M,a,1990,Born,1990-04-04,SeaWorld San Diego,Sandy (Bubbles),Crunch,SeaWorld San Diego to SeaWorld Orlando (08-Jun-1996) to Busch Gardens Tampa (12-Jan-1999) to SeaWorld Orlando (10-Jan-2000) to Busch Gardens Tampa (15-Feb-2000) to SeaWorld Orlando (10-May-2001),SeaWorld Orlando,US,Alive,,,,,US,1990-04-04
29,Bottlenose,"NOA0003009, SWF-TT-9001",Steime,F,a,1990,Born,1990-04-08,SeaWorld Orlando,Spanky,Ralph,SeaWorld Orlando to SeaWorld Aurora (Early 1995) to SeaWorld San Diego (26-Apr-1999),SeaWorld San Diego,US,Alive,,,,,US,1990-04-08
30,Bottlenose,"NOA0004416, AZA 423, DRC-BC-90-4 ",Talon,M,a,1990,Born,1990-06-08,Dolphin Research Center,Tursi,Delphi,,Dolphin Research Center,US,Alive,,,,,US,1990-06-08
31,Bottlenose,"NOA0003011, SWC-TT-9027",Baretta,M,a,1990,Born,1990-08-13,SeaWorld San Diego,Cometta,Kai (T.t. gilli),SeaWorld San Diego to SeaWorld Orlando (02-Apr-2000),SeaWorld Orlando,US,Alive,,,,,US,1990-08-13
32,Bottlenose,"NOA0004617, AZA 447, MLF-431",Roxy,F,a,1990,Born,1990-08-26,Marineland Florida,Pebbles,Chubby,,Marineland Florida,US,Alive,,,,,US,1990-08-26
33,Killer Whale; Orca,"FOR0000737, SWC-Oo-1226",Shouka,F,a,1990,Born,1993-02-25,Marineland Antibes,Sharkan,Kim II,Marineland Antibes to Six Flags Great Adventure (20-May-2002) to Six Flags Discovery Kingdom (19-Apr-2004) to SeaWorld San Diego (20-Aug-2012),SeaWorld San Diego,US,Alive,,,,,US,1993-02-25
34,Bottlenose,"NOA0000416, AZA 454, TT0215",Hoku,M,a,1991,Born,1991-03-30,Kahala Hilton Oahu,Iwa,Maka,"Kahala Hilton, Pre-Dolphin Quest to Dolphin Quest Hawaii (01-May-1993) to Dolphin Quest Oahu (28-May-1998)",Dolphin Quest Oahu,US,Alive,,,,,US,1991-03-30
35,Bottlenose,"NOA0003041, AZA 459, SWF-TT-9101",Latoya,F,a,1991,Born,1991-05-20,SeaWorld Orlando,Tanya,Ralph,SeaWorld Orlando to SeaWorld Aurora (Early 1995) to Discovery Cove (16-Apr-2000),Discovery Cove,US,Alive,,,,,US,1991-05-20
36,Bottlenose,"NOA0003042, AZA 460, SWF-TT-9102",Thelma,F,a,1991,Born,1991-05-23,SeaWorld Orlando,Louise,Ralph,SeaWorld Orlando to SeaWorld Aurora (Early 1995) to Discovery Cove (16-Apr-2000),Discovery Cove,US,Alive,,,,,US,1991-05-23
37,Killer Whale; Orca,"NOA0003037, SWC-OO-9126",Takara,F,a,1991,Born,1991-07-09,SeaWorld San Diego,Kasatka,Kotar,SeaWorld San Diego to SeaWorld Orlando (24-Feb-2004) to SeaWorld San Antonio (05-Feb-2009),SeaWorld San Antonio,US,Alive,,,,,US,1991-07-09
38,Killer Whale; Orca,"NOA0003069, SWT-OO-9377",Kyuquot,M,a,1991,Born,1991-12-24,Sealand of the Pacific,Haida II,Tilikum,Sealand of the Pacific to SeaWorld San Antonio (08-Jan-1993),SeaWorld San Antonio,US,Alive,,,,,US,1991-12-24
39,Bottlenose,"NOA0005103, TT-779",Tro,M,a,1992,Born,1992-03-30,U.S. Navy,PNN,,,U.S. Navy,US,Alive,,,,,US,1992-03-30
40,Bottlenose,"NOA0000699, AZA 474, 005 (Dolphin Quest), 920068",Khyber,M,a,1992,Born,1992-04-05,Dolphin Connection,April,Pepper,Dolphin Connection to Dolphin Quest Bermuda (16-Oct-1996) to EPCOT Center (21-Nov-2005),EPCOT The Seas,US,Alive,,,Khyber was previously named Keebler at Dolphin Connection (Hawk's Cay Resort),,US,1992-04-05
41,Bottlenose,"NOA0001337, AZA 481, TT9204, 297001",Shadow,M,a,1992,Born,1992-07-23,Minnesota Zoo,Rio,Semo,Minnesota Zoo to SeaWorld Aurora (??) to National Aquarium in Baltimore (11-Oct-1997) to Texas State Aquarium (26-Oct-2005) to SeaWorld San Antonio (15-Nov-2010) to Texas State Aquarium (22-Dec-2010),Texas State Aquarium,US,Alive,,,"Conflicting dates for Shadow's transfer to Ohio, 05-Feb-1995, 05-Nov-1995, and 04-Jan-1996.",,US,1992-07-23
42,Beluga,"NOA0003071, SWT-DL- 9278/050012",Beethoven,M,a,1992,Born,1992-08-08,SeaWorld San Antonio,Bandit,Shadow,SeaWorld San Antonio to SeaWorld San Diego (20-Apr-1997) to Point Defiance Zoo (21-Nov-1998) to SeaWorld San Antonio (01-Jun-2009) to Georgia Aquarium (22-Feb-2010) to Shedd Aquarium (19-Oct-2014),Shedd Aquarium,US,Alive,,,,,US,1992-08-08
43,Hybrid,"NOA0003061, AZA 487, SWC-TT-9226 ",C.J.,M,a,1992,Born,1992-11-05,SeaWorld San Diego,Jenny,Cooper (D. capensis),SeaWorld San Diego to SeaWorld Orlando (08-Jun-1996) to SeaWorld Aurora (26-Apr-1998) to SeaWorld San Diego (19-Oct-1998) to SeaWorld Orlando (02-Apr-2000) to Discovery Cove (??-???-2003) to SeaWorld Orlando (2016),SeaWorld Orlando,US,Alive,,,,,US,1992-11-05
44,Killer Whale; Orca,"NOA0003087, SWT-OO-9378",Keet,M,a,1993,Born,1993-02-02,SeaWorld San Antonio,Kalina,Kotar,SeaWorld San Antonio to SeaWorld San Diego (07-Nov-1999) to SeaWorld Aurora (15-Apr-2000) to SeaWorld San Diego (15-Feb-2001) to SeaWorld San Antonio (24-Feb-2004) to SeaWorld San Diego (27-Feb-2012),SeaWorld San Diego,US,Alive,,,,,US,1993-02-02
45,Bottlenose,"NOA0003078, SWT-TT-9376",Alejandro,M,a,1993,Born,1993-03-21,SeaWorld San Antonio,Alice,Capricorn,SeaWorld San Antonio to SeaWorld Orlando (03-Apr-2000),SeaWorld Orlando,US,Alive,,,,,US,1993-03-21
46,Commerson's,"NOA0003076, SWC-CC-9326",Pepe,M,a,1993,Born,1993-05-23,SeaWorld San Diego,Betsy,Pancho,SeaWorld San Diego to SeaWorld Aurora (04-May-1996) to SeaWorld San Diego (18-Feb-2001) to Aquatica Orlando (27-Jan-2008),Aquatica Orlando,US,Alive,,,,,US,1993-05-23
47,Bottlenose,"NOA0001929, AZA 508",Alfonz,M,a,1993,Born,1993-07-25,Dolphins Plus Oceanside,Genie,Fonzie,Dolphins Plus Oceanside to Dolphins Plus Bayside (11-Jan-1998) to Dolphins Plus Oceanside (~ Apr 2016),Dolphins Plus Oceanside,US,Alive,,,,,US,1993-07-25
48,Bottlenose,"NOA0000707, AZA 525, 940075",Calvin,M,a,1994,Born,1994-04-04,Dolphin Connection,Schooner,Pepper,Dolphin Connection to Brookfield Zoo (04-Sep-1996) to Dolphin Connection (01-Nov-1999) to EPCOT Center (11-Feb-2003),EPCOT The Seas,US,Alive,,,,,US,1994-04-04
49,Bottlenose,"NOA0001525, AZA 528, TT9402",Avalon,M,a,1994,Born,1994-04-23,Six Flags Discovery Kingdom,Jasmine,Bayou,Six Flags Discovery Kingdom to Six Flags Great Adventure (21-May-2006) to Six Flags Discovery Kingdom (19-May-2012),Six Flags Discovery Kingdom,US,Alive,,,,,US,1994-04-23
50,Bottlenose,"NOA0001527, AZA 531, TT9404",Brisby,M,a,1994,Born,1994-05-12,Six Flags Discovery Kingdom,Chelsea,Bayou,Six Flags Discovery Kingdom to Six Flags Worlds of Adventure (26-Mar-2001) to Six Flags Discovery Kingdom (19-Apr-2004),Six Flags Discovery Kingdom,US,Alive,,,,,US,1994-05-12
51,Bottlenose,"NOA0003105, SWF-TT-9401",Tyler,M,a,1994,Born,1994-05-29,SeaWorld Orlando,Tanya,Lester,SeaWorld Orlando to Discovery Cove (2000?) to SeaWorld Orlando (~ May 2016?),SeaWorld Orlando,US,Alive,,,,,US,1994-05-29
52,Bottlenose,"NOA0000419, AZA 534, M10009 (Georgia Aquarium)",Niele,M,a,1994,Born,1994-06-30,Sea Life Park,Nihoa,Amiko,Sea Life Park to Dolphin Quest Oahu (01-Oct-2003) to Dolphin Quest Hawaii (14-Sep-2009) to Georgia Aquarium (06-Jun-2010),Georgia Aquarium,US,Alive,,,,,US,1994-06-30
53,Bottlenose,"NOA0003756, AZA 539, JY94M3",Kolohe,M,a,1994,Born,1994-07-12,Dolphin Quest Hawaii,Shaka,Hobi,Dolphin Quest Hawaii to Dolphin Quest Oahu (31-Oct-2005),Dolphin Quest Oahu,US,Alive,,,,,US,1994-07-12
54,Bottlenose,"NOA0001932, AZA 542",Bob,M,a,1994,Born,1994-07-28,Dolphins Plus Oceanside,Jessica,Little Bit,,Dolphins Plus Oceanside,US,Alive,,,,,US,1994-07-28
55,Bottlenose,"NOA0000708, TT9405",Kai,M,a,1994,Born,1994-10-11,Brookfield Zoo,Windy,Gibbs*,Brookfield Zoo to Dolphin Connection (01-Nov-1999) to Brookfield Zoo (09-Sep-2002) to Texas State Aquarium (20-Nov-2006) to SeaWorld San Antonio (15-Nov-2010) to Texas State Aquarium (22-Dec-2010),Texas State Aquarium,US,Alive,,,KaiÕs sire was originally named ÒStormyÓ while living at Brookfield Zoo,,US,1994-10-11
56,Bottlenose,"NOA0000420, AZA 550",Liho,M,a,1995,Born,1995-01-22,Sea Life Park,Iwa,Maka,Sea Life Park to Dolphin Quest Oahu (03-Jan-2000),Dolphin Quest Oahu,US,Alive,,,,,US,1995-01-22
57,Bottlenose,"NOA0005495, AZA 551, M12015 (Georgia Aquarium)",Zac,M,a,1995,Born,1995-02-23,Gulfarium,Delilah,Panama,Gulfarium Marine Adventure Park to Gulf World Marine Park (11-Jan-2012) to Marineland of Florida (05-Nov-2012),Marineland Florida,US,Alive,,,,,US,1995-02-23
58,Bottlenose,"NOA0005491, AZA 553, MLF-440 (Marineland Florida)",Kendall,F,a,1995,Born,1995-06-07,Marineland Florida,Bunny,Davy II,Marineland of Florida to SeaWorld Orlando (26-Mar-2001) to Discovery Cove (??-???-2010),Discovery Cove,US,Alive,,,,,US,1995-06-07
59,Bottlenose,"NOA0005484, AZA 558, SWT-TT-9576",Yoko,F,a,1995,Born,1995-07-19,SeaWorld San Antonio,Yoyo,Capricorn,SeaWorld San Antonio to Discovery Cove (03-Apr-2000) to SeaWorld Orlando (< Jun 2004) to Discovery Cove (< 2007),Discovery Cove,US,Alive,,,,,US,1995-07-19
60,Bottlenose,"NOA0005600, SWT-TT-9676",Ripley,F,a,1996,Born,1996-04-20,SeaWorld San Antonio,Puka,Capricorn,SeaWorld San Antonio to Discovery Cove Orlando (03-Apr-2000) to SeaWorld San Diego (03-Apr-2004),SeaWorld San Diego,US,Alive,,,,,US,1996-04-20
61,Bottlenose,"NOA0005605, AZA 571, SWT-TT-9677",Rose,F,a,1996,Born,1996-04-27,SeaWorld San Antonio,Alice,Capricorn,SeaWorld San Antonio to Discovery Cove (03-Apr-2000),Discovery Cove,US,Alive,,,,,US,1996-04-27
62,Bottlenose,"NOA0005604, AZA 574, SWT-TT-9678",Natalie,F,a,1996,Born,1996-05-17,SeaWorld San Antonio,Punta,Capricorn,SeaWorld San Antonio to Discovery Cove (03-Apr-2000),Discovery Cove,US,Alive,,,,,US,1996-05-17
63,Bottlenose,"NOA0005613, AZA 580, SWF-TT-9601",Hutch,M,a,1996,Born,1996-06-24,SeaWorld Orlando,Starkey,Lester,SeaWorld Orlando to Discovery Cove (2000?),Discovery Cove,US,Alive,,,,,US,1996-06-24
64,Bottlenose,"NOA0005623, SWC-TT-9627",Griffith,F,a,1996,Born,1996-08-01,SeaWorld San Diego,Melanie,Crunch,SeaWorld San Diego to Discovery Cove (02-Apr-2000) to SeaWorld Orlando (< Aug 2003),SeaWorld Orlando,US,Alive,,,,,US,1996-08-01
65,Bottlenose,"NOA0005624, SWF-TT-9602",Sebastian,M,a,1996,Born,1996-08-27,SeaWorld Orlando,Sabrina,Stein,SeaWorld Orlando to Gulf World Marine Park (30-Apr-2008) to Gulfarium (29-Nov-2011) to Gulf World Marine Park (11-Jan-2012) to Gulfarium (18-Apr-2012),Gulfarium Marine Adventure,US,Alive,,,,,US,1996-08-27
66,Bottlenose,"NOA0003746, AZA 593",Kai'nalu,M,a,1996,Born,1996-10-03,Dolphin Quest Hawaii,Leilani,Hobi,Dolphin Quest Hawaii to Dolphin Quest Oahu (05-Oct-2002) to Dolphin Quest Hawaii (14-Sep-2009) to Dolphin Quest Hawaii (08-Sep-2000) to Dolphin Quest Oahu (??-May-2012) to  Dolphinaris Arizona (26-Sep-2016),Dolphinaris Arizona,US,Alive,,,,,US,1996-10-03
67,Bottlenose,"NOA0005725, AZA 623, DRC-BC-97-01 ",Pax,M,a,1997,Born,1997-03-30,Dolphin Research Center,Tursi,Rainbow,,Dolphin Research Center,US,Alive,,,,,US,1997-03-30
68,Bottlenose,"NOA0005676, SWF-TTG-9701",Marble,M,a,1997,Born,1997-05-13,SeaWorld Orlando,Tasha,Beachie,SeaWorld Orlando to Busch Gardens Tampa (15-Nov-2000) to SeaWorld Orlando (04-Sep-2002),SeaWorld Orlando,US,Alive,,,,,US,1997-05-13
69,Bottlenose,"NOA0005681, SWO-TT-9751",Rascal,M,a,1997,Born,1997-05-25,SeaWorld Aurora,Steime,Nalu,SeaWorld Aurora to Discovery Cove (16-Apr-2000) to SeaWorld Orlando (03-Feb-2016),SeaWorld Orlando,US,Alive,,,,,US,1997-05-25
70,Bottlenose,"NOA0005682, AZA 664, SWF-TT-9702",Clipper,F,a,1997,Born,1997-05-26,SeaWorld Orlando,Louise,Lester,SeaWorld Orlando to Discovery Cove (< Mar 2003),Discovery Cove,US,Alive,,,,,US,1997-05-26
71,Bottlenose,"NOA0005680, AZA 626, SWO-TT-9752",Dash,F,a,1997,Born,1997-05-27,Sea World of Ohio,Dottie,Clyde,SeaWorld Aurora to Discovery Cove (16-Apr-2000) to SeaWorld Orlando (< Aug 2003) to Discovery Cove (??-???-2010) to SeaWorld Orlando (??-???-????),Discovery Cove,US,Alive,,,,,US,1997-05-27
72,Bottlenose,"NOA0005709, AZA 633, OCT97M2",Nainoa,M,a,1997,Born,1997-10-31,Dolphin Quest Hawaii,Kona,Hobi,Dolphin Quest Hawaii to Dolphin Quest Oahu (11-Jan-2004),Dolphin Quest Oahu,US,Alive,,,,,US,1997-10-31
73,Bottlenose,"NOA0005727, AZA 634, DRC-BC-97-03 ",Pandora,F,a,1997,Born,1997-11-22,Dolphin Research Center,Merina,Kibby,,Dolphin Research Center,US,Alive,,,,,US,1997-11-22
74,Bottlenose,"NOA0005711, AZA 635, SWC-TT-9726",Diego,M,a,1997,Born,1997-12-26,SeaWorld San Diego,Sandy (Bubbles),Stein,SeaWorld San Diego to Discovery Cove (02-Apr-2000) to SeaWorld Orlando (??),SeaWorld Orlando,US,Alive,,,,,US,1997-12-26
75,Bottlenose,"NOA0005756, AZA 637",Sherman,M,a,1998,Born,1998-02-03,Theater of the Sea,Sherry,Stormy,,Theater of the Sea,US,Alive,,,,,US,1998-02-03
76,Bottlenose,"NOA0005718, SWF-TT-9801",Calla,F,a,1998,Born,1998-02-24,SeaWorld Orlando,Lily,Lester,,SeaWorld Orlando,US,Alive,,,"Calla goes by the nickname ÒCalliÓ, alternatively spelled ÒCallieÓ",,US,1998-02-24
77,Bottlenose,"NOA0005707, SWC-TT-9826",Malibu,F,a,1998,Born,1998-03-10,SeaWorld San Diego,Bacardi,Stein,,SeaWorld San Diego,US,Alive,,,,,US,1998-03-10
78,Bottlenose,"NOA0005751, AZA 646, SWO-TT-9851",Roxy,F,a,1998,Born,1998-06-19,SeaWorld Aurora,Thelma,Clyde,SeaWorld Aurora to Discovery Cove (16-Apr-2000),Discovery Cove,US,Alive,,,,,US,1998-06-19
79,Bottlenose,"NOA0005760, SWO-TT-9852",Oscar,M,a,1998,Born,1998-06-30,SeaWorld Aurora,Latoya,Nalu,SeaWorld Aurora to Discovery Cove (16-Apr-2000) to SeaWorld Orlando (??-Nov-2006),SeaWorld Orlando,US,Alive,,,,,US,1998-06-30
80,Bottlenose,"NOA0005761, AZA 649, SWT-TT-9877",Ping,F,a,1998,Born,1998-07-03,SeaWorld San Antonio,Alice,Capricorn,SeaWorld San Antonio to Six Flags Discovery Kingdom (11-Feb-2013) to Dolphinaris Arizona (24-Aug-2016),Dolphinaris Arizona,US,Alive,,,,,US,1998-07-03
81,Bottlenose,"NOA0005771, SWT-TT-9878",Fathom,M,a,1998,Born,1998-08-17,SeaWorld San Antonio,Puka,Capricorn,,SeaWorld San Antonio,US,Alive,,,,,US,1998-08-17
82,Commerson's,"NOA0005772, SWC-CC-9826",Ross,M,a,1998,Born,1998-09-01,SeaWorld San Diego,Betsy,Juan,SeaWorld San Diego to Aquatica Orlando (27-Jan-2008),Aquatica Orlando,US,Alive,,,,,US,1998-09-01
83,"White-sided, Pacific","NOA0005852, SWT-LO-9976",Avalon,F,a,1999,Born,1999-07-18,SeaWorld San Antonio,Catalina,Jump-Jump,,SeaWorld San Antonio,US,Alive,,,,,US,1999-07-18
84,"White-sided, Pacific","NOA0003086, SWT-LO-9376",Avalon,F,a,1999,Born,1993-09-05,SeaWorld San Antonio,Catalina,Jump-Jump,,SeaWorld San Antonio,US,Alive,,,,,US,1993-09-05
85,Bottlenose,"NOA0005838, AZA 668, JU99M1",Nimbus,M,a,1999,Born,1999-06-14,Dolphin Quest Bermuda,Cirrus,Gibbs*,Dolphin Quest Bermuda to Dolphin Quest Hawaii (03-Mar-2010),Dolphin Quest Hawai'i,US,Alive,,,,2010-03-03,Foreign,2010-03-03
86,Killer Whale; Orca,"NOA0005840, SWF-OO-9901",Tuar,M,a,1999,Born,1999-06-22,SeaWorld Orlando,Kalina,Tilikum,SeaWorld Orlando to SeaWorld San Antonio (25-Feb-2004),SeaWorld San Antonio,US,Alive,,,,,US,1999-06-22
87,Bottlenose,"NOA0005854, SWC-TT-9926",Daphne,F,a,1999,Born,1999-07-20,SeaWorld San Diego,Steime,Clyde,,SeaWorld San Diego,US,Alive,,,"Conceived in Aurora, before dam's transfer.",,US,1999-07-20
88,Bottlenose,"NOA0005855, AZA 672, SWC-TT-9927",Kenobi,M,a,1999,Born,1999-07-21,SeaWorld San Diego,Tobie,Clyde,SeaWorld San Diego to Georgia Aquarium (31-May-2014),Georgia Aquarium,US,Alive,,,,,US,1999-07-21
89,Beluga,"NOA0005856, SWT-DL-9976",Whisper,F,a,1999,Born,1999-07-25,SeaWorld San Antonio,Crissy,Luke,SeaWorld San Antonio to SeaWorld Orlando (21-Nov-2010),SeaWorld Orlando,US,Alive,,,,,US,1999-07-25
90,Beluga,NOA0005851,Kayavak,F,a,1999,Born,1999-08-03,Shedd Aquarium,Immiayuk,Inuk,Shedd Aquarium to Mystic Aquarium (29-Aug-2008) to Shedd Aquarium (01-May-2009),Shedd Aquarium,US,Alive,,,,,US,1999-08-03
91,"White-sided, Pacific","NOA0005865, SWT-LO-9978",Hailey,F,a,1999,Born,1999-08-28,SeaWorld San Antonio,Betty,Jump-Jump,,SeaWorld San Antonio,US,Alive,,,,,US,1999-08-28
